ParticipentID,D-Q1,D-Q2,D-Q3,D-Q4,D-Q5,D-Q6,Q6_4_TEXT,D-Q7,SC-Q1,SC-Q2,SC-Q3,SC-Q4,SC-Q5,SC-Q6,SC-Q7,SC-Q8,SC-Q9,SC-Q10,SC-Q11,SC-Q12,SC-Q13,SC-Q14,SC-Q15,SC-Q16,SC-Q17,SC-Q18,SC-Q19,SC-Q20,SC-Q21,SC-Q22,SC-Q23,SC-Q24,SC-Q25,SC-Q26,ED-Q1,ED-Q2,ED-Q3,ED-Q4,ED-Q5,ED-Q6,ED-Q7,ED-Q8,ED-Q9,ED-Q10,ED-Q11,ED-Q12,ED-Q13,ED-Q14,ED-Q15,ED-Q16,ED-Q17,Q52
11,"I am a BIPOC (Black, Indigenous, or Person of Color) and I agree to participate in this research and will continue with this survey",18 - 20,Female,Asian/Pacific Islander,Junior,Homosexual,,"25-49,999",3,3,3,3,4,1,4,1,3,3,4,4,3,4,2,2,2,1,2,4,2,2,2,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,
12,"I am a BIPOC (Black, Indigenous, or Person of Color) and I agree to participate in this research and will continue with this survey",Over 26,Female,Asian/Pacific Islander,Sophmore,Heterosexual,,"over 125,000",4,3,2,4,2,4,3,2,4,3,2,2,3,4,3,2,3,2,2,2,3,2,2,2,2,3,1,1,1,1,1,1,1,2,1,1,3,1,4,1,1,1,1,
13,"I am a BIPOC (Black, Indigenous, or Person of Color) and I agree to participate in this research and will continue with this survey",18 - 20,Female,Hispanic,Sophmore,Bisexual,,"over 125,000",3,3,3,3,3,3,2,2,3,3,3,2,3,2,4,2,3,2,3,4,2,3,2,4,3,2,2,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,have not experienced horrible discrimination but i do know other who have.
14,"I am a BIPOC (Black, Indigenous, or Person of Color) and I agree to participate in this research and will continue with this survey",24-26,Male,Asian/Pacific Islander,Graduate Student,Heterosexual,,"25-49,999",3,3,2,3,3,2,2,2,3,2,1,2,2,2,2,3,2,3,3,2,1,2,3,4,1,3,2,3,1,1,1,1,1,5,2,1,1,1,3,2,1,1,1,"I think my experiences of discrimination here at WSU have been more subtle than overt. For example, when I have eaten lunch by Zane's in the student union, I see the separation of students of color and white students. I am not saying that they should be eating together, but that I noticed that students of color eat alone for what I have seen. I have eaten with some of the students of color who were sitting by themself, most who were international students, that have expressed that they have also felt the same way that I have. They have confided in me that a reason they have chosen WSU is due to its affordability for a college education. I feel that many of their experiences are similar to mine in that it is lonely being a student of color here and how dominant cliques are that make it difficult to find community here but also how subtle discrimination is prevalent at WSU. While I do understand that at some points and instances I would have to eat alone or be alone, I do not think that it should be almost always that I see it. I haven't had a conversation with any person at WSU that I was not acquainted with, such as being in the same program, or introduced to that I did not do myself. Referring this back to cliques at WSU, I find that any person would find it difficult and no doubt a person of color would find it even more difficult as there are few students of color that I even see on campus. 


An example about what I have experienced while at WSU is my job that I have at WSU right now. I am the only person color in my department and the only male-identifying person in the department as well. My other coworkers and supervisor are white women. I am not saying that it is bad because they are white women, I am simply stating the demographics of who I am working with and how my interactions have been ""different"" in my perspective. When I first started my job, my supervisor said a microaggression towards me that I remember very clearly. She said ""Since you speak good English, I don't think you should have any problem with responding to emails."" It came off as ignorant as I have been raised in the States my whole life and can speak English clearly without any noticeable impairments. Other instances that I have noticed are when I am invited to group meetings in my department, where I feel like there's a clear difference in the environment. I understand that this is part of the white professionalism that I am experiencing, but also how I am only invited when there is a need for me to be there. I work in a group that involves 3 other staff and for my work, but I have rarely attended these meetings as I believe that I am not required to be there even though I am on the team. I understand that I may be a graduate student, but I am still a staff on this campus as well which has given me different vibes while working here. Another instance where I have felt a weird vibe while working with this department is when my supervisor invited my to have lunch with the team at a local restaurant. I went with them and there was 5 of us total. I noticed that they were unconformable with my presence as they are usually talkative and engaging with each other while they work in the office. It may have been an off day for them or something else, but that is what I noticed when I was present with them. It may be a Midwestern thing or a culture thing in the States, but I feel that there's a definite circle that I have experienced that isn't necessary harmful but somewhat exclusive to what I have gone through. I am able to talk with the staff fine when it is just me and another staff member, but I can't find the right words to describe what it is like in a group setting with them. I will say that my supervisor is making efforts to be inclusive of me in at work and is trying to support me in with any questions or concerns. 

I believe that most of the discrimination that I have experienced at WSU are more related to isolation and microaggressions that have contributed to affecting my mental health."
15,"I am a BIPOC (Black, Indigenous, or Person of Color) and I agree to participate in this research and will continue with this survey",Over 26,Female,Asian/Pacific Islander,Graduate Student,Heterosexual,,"75-99,999",3,3,3,4,4,3,1,2,4,3,5,2,5,5,5,4,3,5,3,3,5,,5,5,4,3,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,3,3,"In one of my class, I felt that one of faculty implied that I was dishonest about excused abscence.
Another incident with another faculty was, implied that I had not read course book, or content for the semester."
16,"I am a BIPOC (Black, Indigenous, or Person of Color) and I agree to participate in this research and will continue with this survey",18 - 20,Female,Black or African American,Sophmore,Heterosexual,,"50-74,999",4,4,3,4,4,4,3,4,3,2,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,3,5,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,participant,subscale ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
